Rainfall,Exchange,Season,Cost
41,71.0677,4,2950
41,70.8423,4,2950
41,70.8896,4,2900
41,70.7472,4,2600
41,70.8341,4,2450
41,70.8399,4,2600
41,70.8373,4,2450
41,71.0075,4,1700
41,70.722,4,1700
41,70.8378,4,2400
41,70.9263,4,2450
41,71.0909,4,2450
41,71.0901,4,2450
41,71.0901,4,2450
41,71.1627,4,2600
41,71.3643,4,2650
41,71.521,4,2600
41,71.1961,4,2600
41,70.942,4,2650
17.4,71.0501,4,2450
17.4,71.0501,4,2450
17.4,70.964,4,1900
17.4,71.1428,4,1500
17.4,71.2915,4,1400
17.4,71.0817,4,1450
17.4,70.8226,4,1200
17.4,70.8248,4,1000
17.4,70.8253,4,1100
17.4,70.9925,4,1100
17.4,71.1489,4,1150
17.4,71.1082,4,1100
17.4,70.6467,4,1150
17.4,70.5607,4,1100
17.4,70.5108,4,1050
17.4,70.659,4,1000
17.4,70.9761,4,1000
17.4,71.0191,4,900
17.4,70.9712,4,900
17.4,70.7405,4,800
17.4,71.1824,4,1000
17.4,71.2079,4,1000
17.4,71.2079,4,1200
17.4,71.3927,4,1200
17.4,71.1863,4,1200
227,71.4904,3,900
227,71.7565,3,700
227,71.0287,3,900
227,71.0308,3,900
227,71.031,3,900
227,70.9915,3,900
227,71.5789,3,1100
227,71.856,3,750
227,71.7776,3,500
227,71.6782,3,500
227,71.6764,3,700
227,71.6771,3,900
227,71.9332,3,700
227,71.9798,3,700
227,72.1471,3,700
227,71.9725,3,700
227,71.7405,3,1100
227,71.74,3,1000
227,71.74,3,1000
227,71.691,3,1000
227,71.8259,3,1400
227,71.5472,3,1400
227,71.9559,3,1450
227,71.509,3,1400
227,71.8196,3,1600
227,71.8255,3,1650
283.9,71.9293,3,1650
283.9,71.4451,3,1450
283.9,71.4833,3,1100
283.9,71.6763,3,1250
283.9,71.1442,3,1100
283.9,71.143,3,800
283.9,71.143,3,800
283.9,71.4223,3,1000
283.9,71.6189,3,1000
283.9,71.1242,3,1200
283.9,71.2815,3,1200
283.9,71.0455,3,1300
283.9,71.0423,3,1100
283.9,71.0423,3,1100
283.9,70.4168,3,1000
283.9,71.1905,3,1000
283.9,70.9137,3,1000
283.9,71.128,3,1350
31.2,69.6653,3,1500
31.2,69.667,3,1500
31.2,69.667,3,1900
31.2,69.3056,3,1900
31.2,69.009,3,1900
31.2,68.8499,3,1950
31.2,68.7302,3,1950
31.2,68.88,3,2000
31.2,68.8603,3,1900
31.2,68.8603,3,1750
31.2,69.1406,3,1750
31.2,68.981,3,1650
31.2,69.0293,3,1500
31.2,68.93,3,1300
31.2,68.8378,3,1100
31.2,68.9355,3,900
31.2,68.9371,3,1000
31.2,68.7339,3,1100
31.2,68.796,3,1100
45.4,68.6731,3,1000
45.4,68.5368,2,1000
45.4,68.5559,2,1100
45.4,68.5604,2,1150
45.4,68.5604,2,1100
45.4,68.4718,2,1100
45.4,68.374,2,1000
45.4,68.5491,2,1100
45.4,68.6229,2,1100
45.4,68.45,2,1100
45.4,68.4499,2,1100
45.4,68.4503,2,1150
45.4,68.5488,2,1200
45.4,68.7993,2,1250
45.4,68.8455,2,1200
45.4,68.9048,2,1100
45.4,68.9499,2,1000
45.4,68.9507,2,1000
45.4,68.9507,2,900
45.4,69.0564,2,900
45.4,69.2464,2,1150
45.4,69.3316,2,1100
45.4,69.2623,2,1100
45.4,69.5777,2,1100
45.4,69.58,2,900
45.4,69.58,2,700
45.4,69.5201,2,700
5.7,69.6089,2,700
5.7,69.4808,2,900
5.7,69.8784,2,700
5.7,69.7813,2,600
5.7,69.8789,2,1100
5.7,69.8798,2,1000
5.7,69.5591,2,1100
5.7,69.416,2,1000
5.7,69.3975,2,1100
5.7,69.5114,2,1100
5.7,69.3532,2,1150
5.7,69.39,2,1100
5.7,69.39,2,1100
5.7,69.1263,2,900
5.7,69.4006,2,600
5.7,69.3155,2,800
5.7,69.1697,2,1000
5.7,69.5781,2,900
5.7,69.5795,2,1000
5.7,69.5795,2,1000
5.7,69.7315,2,1200
5.7,69.8254,2,800
10.2,69.6532,2,700
10.2,69.4988,2,1000
10.2,69.3689,2,1000
10.2,69.3802,2,1400
10.2,69.38,2,1700
10.2,69.6695,2,2200
10.2,69.6595,2,2400
10.2,69.646,2,2400
10.2,69.8365,2,2200
10.2,70.2901,2,2400
10.2,70.3481,2,2400
10.2,70.3481,2,2400
10.2,70.1877,2,2200
10.2,70.2475,2,2400
10.2,70.3314,2,2300
10.2,70.571,2,2300
10.2,69.9325,2,2200
10.2,69.9316,2,2200
10.2,69.9316,2,2100
10.2,70.2074,2,2000
10.2,69.7195,2,2000
10.2,69.6214,2,2050
70.8,69.3352,1,1700
70.8,69.1775,1,1500
70.8,69.1779,1,900
70.8,69.1779,1,900
70.8,69.4321,1,750
70.8,69.6362,1,750
70.8,69.5668,1,750
70.8,69.8236,1,700
70.8,69.8519,1,500
70.8,69.8533,1,700
70.8,69.8537,1,350
70.8,70.1707,1,350
70.8,70.1062,1,700
70.8,69.7645,1,700
70.8,69.6925,1,800
70.8,69.3678,1,800
70.8,69.3898,1,600
70.8,69.3898,1,600
70.8,69.415,1,600
52,69.4279,1,450
52,69.5428,1,350
52,69.4549,1,650
52,69.1746,1,600
52,69.1627,1,700
52,69.1614,1,900
52,69.0444,1,900
52,69.1503,1,1100
52,69.2713,1,1100
52,69.561,1,1300
52,69.1704,1,1150
52,69.2308,1,1100
52,69.2308,1,1300
52,68.9778,1,1300
52,68.4252,1,1300
52,68.9373,1,1300
52,69.2036,1,1300
52,69.3798,1,1600
52,69.4401,1,1550
52,69.4393,1,1800
52,69.1929,1,1700
20,69.0703,1,1500
20,69.0562,1,1700
20,68.9306,1,1400
20,69.1709,1,1400
20,69.1705,1,1200
20,69.1698,1,1100
20,68.6734,1,900
20,68.8341,1,750
20,69.0176,1,750
20,68.6255,1,900
20,68.9616,1,1100
20,68.9604,1,900
20,68.9604,1,1100
20,69.3385,1,900
20,69.591,1,900
20,69.6257,1,900
20,69.7974,1,900
20,69.9977,1,750
20,70.0041,1,750
20,70.0203,1,900
20,70.2056,1,1050
20,70.0802,1,1100
20,70.4987,1,900
20,70.9108,1,900
4,71.0002,4,1100
4,71.0014,4,1100
4,70.999,4,1100
4,70.8181,4,1050
4,71.2032,4,900
4,70.9445,4,1050
4,70.8335,4,850
4,71.0423,4,750
4,71.0326,4,700
4,71.036,4,750
4,71.1965,4,550
4,71.0567,4,550
4,71.2958,4,1300
4,71.3846,4,900
4,71.329,4,900
4,71.3307,4,900
4,71.3355,4,750
4,71.02,4,900
4,70.8751,4,900
4,70.5529,4,900
4,71.2372,4,950
4,71.1595,4,900
4,71.1599,4,1300
8,71.1598,4,1700
8,71.3028,4,2150
8,71.5535,4,1600
8,71.5259,4,2100
8,71.6966,4,2450
8,71.4608,4,2400
8,71.4638,4,2400
8,71.4638,4,2400
8,70.96,4,2400
8,71.1302,4,2400
8,71.431,4,2100
8,71.1009,4,1700
8,70.9862,4,1500
8,70.9773,4,1300
8,70.9848,4,1300
8,71.0008,4,900
8,71.1604,4,1900
8,71.2378,4,900
8,71.196,4,900
237.9,71.2402,4,900
237.9,71.2518,4,750
237.9,71.2518,4,600
237.9,71.0414,4,750
237.9,71.0774,4,750
237.9,71.1025,4,750
237.9,70.7939,4,750
237.9,70.378,4,750
237.9,70.3791,4,500
237.9,70.3828,4,550
237.9,70.4213,4,550
237.9,70.5598,4,900
237.9,70.1349,4,850
237.9,69.825,4,800
237.9,69.5377,4,900
237.9,69.5311,4,900
237.9,69.5271,4,1100
237.9,70.1096,4,1200
237.9,69.9924,4,1400
237.9,69.74,4,1300
237.9,69.5661,4,1300
237.9,69.9125,4,1100
237.9,69.925,4,900
247.7,69.925,3,700
247.7,69.9969,3,550
247.7,70.1549,3,600
247.7,70.1241,3,550
247.7,70.1207,3,550
247.7,70.1384,3,750
247.7,70.1507,3,600
247.7,70.141,3,450
247.7,70.089,3,700
247.7,70.6956,3,600
247.7,70.4942,3,600
247.7,71.5933,3,550
247.7,71.9222,3,700
247.7,71.9639,3,750
247.7,71.9639,3,850
247.7,71.5275,3,1050
247.7,71.8411,3,1050
247.7,72.3328,3,1000
247.7,72.5164,3,1050
247.7,71.3722,3,1100
247.7,71.3751,3,900
368.4,71.3751,3,900
368.4,70.5635,3,1050
368.4,70.6525,3,1000
368.4,70.6403,3,1250
368.4,70.4822,3,1100
368.4,69.7703,3,900
368.4,69.6475,3,900
368.4,69.7196,3,900
